Synchronized Time (s),ROS Header Time (s),Camera Number,Fiducial ID,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W
1740166900.9641895,1740166900.9473255,3,3,-0.0007913290315016649,-1.0821546728321399e-05,-0.00016075379774477087,0.0013584150374966251,0.0001758069268772496,-9.025945763795503e-05,0.9999990578264265
1740166900.981996,1740166900.9639528,3,3,-0.0007807889696888554,-1.3891813224086683e-05,-0.00012025212254483661,0.0010525449045405515,0.00029049110277588517,-5.352495914752037e-05,0.9999994024494324
1740166900.9982977,1740166900.9810688,3,3,-0.0007741218271596486,-1.6347390952549046e-05,-0.00010027613705731465,0.0012251553143040005,3.60340815263545e-05,-6.836503008836737e-05,0.9999992465108278
1740166901.0146728,1740166900.9974756,3,3,-0.0007989977793659776,-4.584121865937855e-06,-0.00020207210371425629,0.001286714421876957,0.00030405712914700954,-6.410331812813669e-05,0.9999991239026279
1740166901.0310745,1740166901.014497,3,3,-0.0007634532599547061,-2.0266549071754974e-05,-6.0729337842634674e-05,0.0011080493685267415,1.9295104250082807e-05,-9.039200446525888e-05,0.9999993818415996
1740166901.0474946,1740166901.030988,3,3,-0.0007764253223802608,-1.759665817274562e-05,-0.00011196701539535216,0.0011752465712244662,5.400994645962312e-05,-6.923083678591953e-05,0.9999993055425157
1740166901.0654318,1740166901.047424,3,3,-0.0007864639020310158,-1.423546906608235e-05,-0.00014298490457561257,0.0014461455677556388,0.00012768020818302263,-8.77616173178613e-05,0.9999989423287706
1740166901.0807266,1740166901.0641308,3,3,-0.0008105011832416955,-3.0880037543209795e-06,-0.00023799173506767034,0.0015050819412440162,0.0003517534700646331,-0.0001009897173278087,0.9999988003987421
1740166901.0973544,1740166901.0806558,3,3,-0.0007762405084225913,-1.6185459598541355e-05,-9.585720584042693e-05,0.0010970479653791695,0.0001671954778052614,-5.3260617369940985e-05,0.9999993828471797
1740166901.1141746,1740166901.0974314,3,3,-0.0007929723026657208,-8.90618515539261e-06,-0.00016117469918819897,0.0012123021136547106,0.0002637783407318837,-7.581409471248352e-05,0.9999992274980993
1740166901.1312277,1740166901.1141505,3,3,-0.0007618787568858802,-2.162480252727861e-05,-3.5567343932034986e-05,0.0011754215882530416,0.00011279189847690576,-7.26056001063097e-05,0.9999993001950074
1740166901.1480415,1740166901.130972,3,3,-0.0007960000526604723,-8.939839058046638e-06,-0.0001780000825991034,0.0011661386841107135,0.0003173526919481659,-6.48963879485412e-05,0.9999992675978804
1740166901.164524,1740166901.147626,3,3,-0.0007764754013621547,-1.8184446862031354e-05,-8.789759358879302e-05,0.0011929052703033584,0.00013328027150780972,-8.230927153073294e-05,0.9999992762190226
1740166901.183938,1740166901.1640916,3,3,-0.000804763834462564,-7.835427721111935e-06,-0.0001934616076181063,0.001166595025718484,0.0003642975203077974,-0.00010104346607538281,0.9999992480665075
1740166901.1986895,1740166901.1808605,3,3,-0.0008118965790624232,-3.541777977868073e-06,-0.00021394738368445826,0.0013343684736920676,0.00035019225704588705,-8.701813916453444e-05,0.9999990446265451
1740166901.2146423,1740166901.1976438,3,3,-0.0008049126395940131,-8.692082308146929e-06,-0.0001770450470334158,0.0012790228794570151,0.0003625570104849477,-8.09315348554749e-05,0.9999991130510939
1740166901.232063,1740166901.2145548,3,3,-0.0007937208088555577,-1.1562202689356363e-05,-0.00012761281584878085,0.0011217136498529842,0.0002668325698240242,-4.625364804323251e-05,0.999999334209512
1740166901.2482445,1740166901.2308486,3,3,-0.0008069692543395925,-7.341438742107989e-06,-0.00017464047163012712,0.0011254014578511884,0.0003663122819699045,-6.410278975176881e-05,0.9999992975886048
1740166901.2646272,1740166901.2481642,3,3,-0.0007961255005984806,-1.1530950126378981e-05,-0.00012899129704009647,0.0010083589867660445,7.804554706014693e-05,-6.449438560904336e-05,0.9999994864806285
1740166901.2816281,1740166901.264387,3,3,-0.0008030488015043812,-9.21191787728058e-06,-0.00015051251042502817,0.0013065946472529033,0.00011282906790807004,-5.1823242009781046e-05,0.9999991386968194
1740166901.2984593,1740166901.2812133,3,3,-0.0008109162440472473,-7.3512676555463925e-06,-0.00017505440524195803,0.0012008602806516267,0.00021897342241240257,-5.052429447484976e-05,0.9999992537159827
1740166901.315551,1740166901.2976432,3,3,-0.0008106598645886595,-7.988121420623527e-06,-0.00017139109785761512,0.0011730182996118597,0.0001895733673266813,-5.585131173794071e-05,0.9999992924850688
1740166901.3315077,1740166901.3143854,3,3,-0.0008180035138985694,-5.344153307154699e-06,-0.00019628741729046877,0.001227219203143142,0.0001876276136641491,-7.99353600890666e-05,0.9999992261693227
1740166901.3480341,1740166901.331381,3,3,-0.0008176174146003999,-6.415736354270919e-06,-0.0001901238486857111,0.0012422204071700833,0.00018326739815311506,-7.213382795526427e-05,0.999999209048803
1740166901.3646781,1740166901.347725,3,3,-0.0008290434398989873,-1.599199056084166e-07,-0.00023634285314182054,0.0012847922028631793,0.00029903774751313753,-6.913551364285017e-05,0.9999991275524702
1740166901.3816884,1740166901.3645291,3,3,-0.0008288038884284608,-1.0926662880638682e-06,-0.00023252077577205914,0.0012600695941021708,0.00025770130722071625,-5.5645212390750766e-05,0.9999991713587889
1740166901.398662,1740166901.3813462,3,3,-0.0008360567333269257,4.2445544960901795e-07,-0.000253641165476317,0.0015342662360252318,0.00028721876672318516,-0.00011533534955122831,0.9999987751143768
1740166901.4147754,1740166901.3978314,3,3,-0.0008319914676885018,-6.142902332249159e-07,-0.00023581072757402504,0.0013178641762561483,0.0002892160943245534,-7.488221698983671e-05,0.9999990869899419
1740166901.4324446,1740166901.4143603,3,3,-0.0008404380141822467,2.683248283494351e-06,-0.00026695203740030804,0.001336326611512931,0.000267243430621987,-7.927096888279301e-05,0.9999990682636908
